"","wage","education","experience","age","raceColor","dad_education","mom_education","rural","city","z1","z2","IQscore","logWage"
"2420",413,12,13,31,0,12,12,0,0,0,0,85,6.02344759296103
"134",817,12,9,27,0,10,10,0,1,0,1,116,6.70563909486
"2980",315,15,3,24,1,8,8,1,0,0,0,101,5.75257263882563
"1831",514,15,3,24,1,7,10,0,1,0,0,92,6.24222326545517
"1744",736,18,6,30,0,13,17,1,0,0,1,107,6.60123011872888
"215",800,11,16,33,0,8,8,0,1,1,1,96,6.68461172766793
"1592",817,12,16,34,0,3,8,1,1,1,1,93,6.70563909486
"197",613,17,3,26,1,18,18,0,1,1,1,109,6.41836493593621
"1711",600,12,10,28,1,3,8,1,1,0,1,103,6.39692965521615
"1453",485,13,8,27,1,11,11,1,1,1,1,74,6.18414889093748
"1712",250,14,7,27,1,NA,9,1,1,0,1,NA,5.52146091786225
"1437",432,15,5,26,0,12,10,1,1,0,1,114,6.06842558824411
"1828",375,14,8,28,0,NA,12,1,0,0,0,105,5.92692602597041
"1338",400,12,7,25,0,11,10,0,0,0,0,85,5.99146454710798
"2023",587,12,12,30,0,6,NA,1,1,1,1,NA,6.3750248198281
"2462",350,18,0,24,0,15,12,1,0,1,0,107,5.85793315448346
"2303",450,14,14,34,0,12,10,0,1,1,1,103,6.10924758276437
"2833",361,10,11,27,0,NA,6,1,0,0,0,86,5.88887795833288
"363",563,16,6,28,0,NA,NA,0,1,1,1,111,6.33327962813969
"687",620,15,11,32,0,9,12,0,1,0,1,108,6.42971947803914
"12",400,12,8,26,0,11,6,0,1,1,1,89,5.99146454710798
"1500",238,10,8,24,1,16,11,1,1,0,1,NA,5.47227067367148
"173",865,16,5,27,0,NA,12,0,1,1,1,121,6.76272950693188
"831",1425,12,11,29,0,12,12,0,1,0,1,101,7.26192709270275
"740",409,17,10,33,0,12,12,1,1,0,1,113,6.0137151560428
"1293",700,11,16,33,0,9,8,0,1,0,0,96,6.5510803350434
"238",438,13,5,24,0,14,12,0,1,0,1,114,6.08221891037645
"343",577,12,7,25,0,12,NA,0,1,1,1,NA,6.3578422665081
"592",515,13,7,26,0,10,12,0,0,1,1,92,6.24416690066374
"1240",370,16,2,24,0,12,10,0,1,0,1,117,5.91350300563827
"2421",531,14,13,33,0,12,10,0,0,0,0,105,6.27476202124194
"1476",980,12,14,32,0,2,6,1,1,0,1,92,6.88755257166462
"2527",641,16,3,25,0,8,12,1,1,0,1,112,6.46302945692067
"659",1538,18,10,34,0,18,16,0,1,0,1,112,7.33823815006559
"1906",288,10,13,29,1,0,7,1,0,1,0,NA,5.66296048013595
"1407",577,18,4,28,0,8,12,0,1,0,1,106,6.3578422665081
"2881",438,12,7,25,1,8,16,0,1,1,0,NA,6.08221891037645
"703",865,14,6,26,1,NA,6,0,1,1,1,97,6.76272950693188
"2251",625,12,14,32,0,NA,12,0,0,0,1,90,6.4377516497364
"707",543,14,9,29,0,11,8,0,1,1,1,120,6.29710931993394
"317",2404,18,7,31,0,18,16,0,1,1,1,121,7.7848892956551
"1139",1192,13,15,34,0,12,8,0,0,0,1,99,7.0833878476253
"2452",769,12,9,27,0,10,9,1,1,0,1,102,6.64509096950564
"2944",200,11,14,31,1,NA,8,1,0,0,0,62,5.29831736654804
"657",525,12,6,24,0,12,12,0,1,0,1,NA,6.26339826259162
"1137",760,16,8,30,0,6,12,0,0,0,1,110,6.63331843328038
"1649",543,12,15,33,1,NA,NA,0,1,0,1,76,6.29710931993394
"1562",1030,12,16,34,0,8,NA,1,1,1,1,94,6.93731408122368
"1460",654,11,16,33,1,NA,NA,1,1,1,1,NA,6.4831073514572
"2261",534,16,3,25,0,12,12,0,1,1,1,117,6.2803958389602
"1008",385,16,2,24,0,12,12,0,0,1,0,106,5.95324333428778
"1050",491,16,6,28,0,12,8,0,0,0,1,94,6.19644412779452
"1766",350,12,9,27,0,7,12,1,0,0,0,NA,5.85793315448346
"1242",450,17,1,24,0,11,10,0,1,0,1,NA,6.10924758276437
"2277",770,15,4,25,0,NA,10,0,1,1,1,111,6.64639051484773
"1881",950,14,5,25,1,6,10,1,1,0,1,NA,6.85646198459459
"726",692,17,11,34,0,8,12,0,0,0,1,109,6.53958595561767
"282",510,12,7,25,0,12,12,0,0,1,1,113,6.23441072571837
"2988",589,15,7,28,1,3,8,1,1,0,0,NA,6.37842618365159
"1909",874,16,10,32,0,7,16,1,0,0,1,101,6.77308037565554
"1999",460,14,5,25,0,11,10,1,1,0,1,111,6.13122648948314
"800",705,17,3,26,0,9,12,0,1,0,1,NA,6.55819780281227
"1246",817,12,12,30,0,12,12,0,0,0,1,NA,6.70563909486
"2952",743,16,4,26,0,13,12,1,1,0,0,112,6.61069604471776
"20",649,12,14,32,0,8,8,0,1,1,1,88,6.47543271670409
"104",1111,14,11,31,0,12,12,0,1,0,1,98,7.01301578963963
"2994",263,12,9,27,0,7,7,1,0,0,0,100,5.57215403217776
"2819",738,16,10,32,0,8,12,1,0,0,0,107,6.60394382460047
"1670",368,18,3,27,0,17,16,1,0,0,1,129,5.90808293816893
"326",714,18,9,33,0,12,7,0,1,1,1,112,6.57088296233958
"848",818,13,7,26,1,10,10,0,1,0,1,79,6.70686233660275
"321",286,17,6,29,0,12,12,0,0,1,1,104,5.65599181081985
"1042",361,12,12,30,0,NA,13,0,0,0,0,101,5.88887795833288
"2547",564,12,6,24,1,NA,NA,1,0,1,0,100,6.33505425149806
"1716",475,11,8,25,1,NA,9,0,1,0,1,NA,6.16331480403464
"303",1125,12,14,32,0,8,12,0,1,0,0,90,7.02553831463852
"971",447,16,4,26,0,NA,11,0,1,0,1,125,6.10255859461357
"2255",347,16,10,32,0,7,12,0,1,0,1,91,5.84932477994686
"2092",625,13,11,30,0,8,8,1,1,0,1,85,6.4377516497364
"1896",625,8,15,29,0,8,12,1,0,1,0,91,6.4377516497364
"2007",490,12,7,25,1,4,3,1,1,0,1,77,6.19440539110467
"504",601,12,8,26,0,9,12,0,1,0,0,116,6.39859493453521
"2246",250,15,7,28,0,16,0,0,1,1,1,87,5.52146091786225
"724",750,14,7,27,0,NA,8,0,1,0,1,126,6.62007320653036
"2945",383,12,6,24,1,NA,NA,0,1,0,0,NA,5.94803498918065
"2983",450,9,12,27,0,NA,NA,1,0,0,0,75,6.10924758276437
"728",641,12,12,30,1,NA,NA,0,1,0,1,NA,6.46302945692067
"1538",875,13,7,26,0,NA,7,1,1,1,1,102,6.77422388635761
"2364",400,14,7,27,0,12,12,0,1,0,1,119,5.99146454710798
"972",217,15,4,25,0,NA,11,0,0,0,1,94,5.37989735354046
"1857",545,16,6,28,0,14,12,1,1,0,1,123,6.30078579466324
"2124",443,14,11,31,0,8,12,0,1,1,1,NA,6.09356977004514
"1867",286,11,15,32,0,NA,NA,1,1,1,0,92,5.65599181081985
"1027",649,16,2,24,0,8,12,0,0,0,0,120,6.47543271670409
"1648",726,16,6,28,0,16,NA,1,1,0,1,106,6.5875500148248
"41",1000,12,16,34,0,11,10,0,1,1,1,120,6.90775527898214
"1162",925,13,5,24,0,12,12,0,1,1,1,97,6.82979373751242
"1229",726,11,15,32,0,5,10,0,1,0,1,93,6.5875500148248
"1810",285,8,12,26,1,NA,6,1,1,0,0,NA,5.65248918026865
"86",731,18,1,25,0,NA,4,0,1,1,1,135,6.59441345974978
"309",444,12,7,25,0,10,12,0,1,0,1,123,6.09582456243222
"2196",685,13,6,25,0,9,11,0,1,1,1,68,6.52941883826223
"412",300,11,9,26,1,NA,10,0,1,1,1,95,5.7037824746562
"2910",1106,16,10,32,0,14,12,1,0,0,0,110,7.00850518208228
"473",447,16,9,31,0,NA,12,1,1,1,1,114,6.10255859461357
"352",625,11,10,27,0,1,4,0,1,1,1,NA,6.4377516497364
"1816",511,12,16,34,0,5,12,1,1,0,0,95,6.2363695902037
"735",673,16,3,25,0,12,12,0,1,0,1,102,6.51174532964473
"2552",240,12,6,24,1,NA,12,1,0,1,0,NA,5.48063892334199
"1911",300,8,12,26,1,NA,NA,1,0,0,1,NA,5.7037824746562
"2374",730,12,13,31,0,2,8,0,1,1,1,96,6.59304453414244
"2871",274,8,17,31,1,3,6,1,0,1,0,NA,5.61312810638807
"2632",489,8,16,30,1,NA,NA,1,1,0,0,NA,6.19236248947487
"1589",529,16,5,27,1,8,8,1,1,1,1,108,6.2709884318583
"1531",375,18,8,32,0,14,12,1,1,1,1,96,5.92692602597041
"438",745,14,5,25,0,12,12,0,1,1,1,115,6.61338421837956
"1618",796,18,6,30,0,17,13,0,1,0,0,NA,6.67959918584438
"1313",326,18,2,26,0,12,12,0,0,0,0,100,5.78689738136671
"2257",282,10,10,26,0,2,2,0,1,1,0,90,5.64190707093811
"1984",405,13,6,25,1,NA,5,1,1,1,1,NA,6.00388706710654
"2759",616,16,8,30,0,12,12,1,1,1,0,107,6.42324696353352
"2838",600,12,8,26,0,NA,NA,1,0,0,0,102,6.39692965521615
"107",827,18,10,34,0,18,18,0,0,0,1,129,6.71780469502369
"2879",250,12,7,25,1,4,8,1,0,1,0,NA,5.52146091786225
"456",533,13,8,27,0,12,12,0,1,1,1,105,6.27852142416584
"2750",400,11,8,25,0,14,9,1,0,0,0,NA,5.99146454710798
"1281",1100,12,9,27,0,12,11,0,1,0,1,92,7.00306545878646
"636",1339,13,13,32,0,NA,NA,0,1,1,1,108,7.19967834569117
"2723",721,18,7,31,0,8,9,1,0,0,0,104,6.58063913728495
"2589",250,11,10,27,1,NA,13,1,0,0,0,NA,5.52146091786225
"516",725,12,9,27,0,12,12,0,1,0,0,100,6.58617165485467
