crimeRate_pc,nonRetailBusiness,withWater,ageHouse,distanceToCity,distanceToHighway,pupilTeacherRatio,pctLowIncome,homeValue,pollutionIndex,nBedRooms
0.06129,0.0333,1,49.7,14.03439575,5,17.9,3,1035000,29.29,5.645
5.66637,0.181,0,100,3.043082215,24,23.2,21,414000,59,4.219
13.5222,0.181,0,100,1.934813766,24,23.2,17,519750,48.1,1.863
5.87205,0.181,0,96,2.286493781,24,23.2,24,281250,54.3,4.405
0.1029,0.0493,0,52.9,22.68150916,6,19.6,14,499500,27.8,4.358
0.43571,0.1059,1,100,8.734433265,4,21.6,29,450000,33.9,3.344
0.15876,0.1081,0,17.5,14.3606575,4,22.2,12,488250,26.3,3.961
0.26363,0.0856,0,91.2,4.457873716,5,23.9,19,436500,37,4.229
88.9762,0.181,0,91.9,1.745607206,24,23.2,22,234000,52.1,4.968
0.08244,0.0493,0,18.5,18.47965303,6,19.6,7,533250,27.8,4.481
0.57529,0.062,0,73.3,8.602810747,8,20.4,2,938250,35.7,6.337
13.0751,0.181,0,56.7,5.263924918,24,23.2,18,452250,43,3.713
0.05789,0.0607,0,21.4,19.9731945,4,21.9,10,495000,25.9,3.878
0.10574,0.2774,0,98.8,2.71794205,4,23.1,23,306000,45.9,3.983
0.17171,0.0513,0,93.4,21.57258316,8,22.7,18,360000,30.3,3.966
0.09299,0.2565,0,92.9,3.244909751,2,22.1,23,461250,43.1,3.961
0.05059,0.0449,0,48,12.21792365,3,21.5,12,537750,29.9,4.389
1.12658,0.1958,1,88,2.142928672,5,17.7,15,344250,72.1,3.012
0.537,0.062,0,68.1,8.012160713,8,20.4,14,546750,35.4,3.981
18.4982,0.181,0,100,1.228051963,24,23.2,49,310500,51.8,2.138
1.34284,0.1958,0,100,2.464639783,5,17.7,8,546750,45.5,4.066
5.73116,0.181,0,77,7.120807744,24,23.2,8,562500,38.2,5.061
0.37578,0.1059,1,88.6,7.989477285,4,21.6,30,434250,33.9,3.404
0.3494,0.099,0,76.7,6.119823039,4,21.4,12,456750,39.4,3.972
0.09512,0.1283,0,45,11.10558364,5,21.7,11,481500,28.7,4.286
0.18337,0.2774,0,98.3,2.460377521,4,23.1,30,157500,45.9,3.414
8.20058,0.181,0,80.3,5.131823153,24,23.2,21,303750,56.3,3.936
1.80028,0.1958,0,79.2,4.128541279,5,17.7,15,535500,45.5,3.877
0.05561,0.0224,0,10,26.90441501,5,17.8,5,652500,25,5.041
14.2362,0.181,0,100,2.066577565,24,23.2,26,162000,54.3,4.343
0.26838,0.0969,0,70.6,5.471235806,6,22.2,18,411750,43.5,3.794
0.22438,0.0969,0,79.7,4.327165705,6,22.2,18,378000,43.5,4.027
12.0482,0.181,0,87.6,2.913955127,24,23.2,18,468000,46.4,3.648
0.7258,0.0814,0,69.5,8.453050173,4,24,14,409500,38.8,3.727
0.10328,0.0513,0,47.2,22.14999775,8,22.7,11,441000,30.3,3.927
0.75026,0.0814,0,94.1,10.70190544,4,24,20,351000,38.8,3.924
0.1,0.0609,0,17.7,15.25916915,7,19.1,6,744750,28.3,4.982
0.05479,0.0218,0,58.1,6.985666389,7,21.4,11,639000,32.2,4.616
0.06588,0.0246,0,83.3,5.019430634,3,20.8,9,895500,33.8,5.765
0.08265,0.1392,0,18.4,15.30810167,4,19,10,537750,28.7,4.127
0.33983,0.0586,0,34.9,28.16748055,7,22.1,11,546750,28.1,4.108
0.03537,0.0609,0,40.4,15.25916915,7,19.1,12,495000,28.3,4.59
0.19539,0.1081,0,6.2,14.3606575,4,22.2,9,526500,26.3,4.245
0.62739,0.0814,0,56.5,11.08980236,4,24,10,447750,38.8,3.834
0.13642,0.1059,0,22.3,8.989709635,4,21.6,13,508500,33.9,3.891
0.06905,0.0218,0,54.2,17.8734511,3,21.7,6,814500,30.8,5.147
0.44178,0.062,0,21.4,7.002588915,8,20.4,4,708750,35.4,4.552
0.07896,0.1283,0,6,10.13135407,5,21.7,8,542250,28.7,4.273
0.10469,0.0641,1,49,12.24984278,4,20.6,7,747000,29.7,5.267
0.97617,0.2189,0,98.4,3.913134833,4,24.2,22,351000,47.4,3.757
0.63796,0.0814,0,84.5,10.94540239,4,24,13,409500,38.8,4.096
10.6718,0.181,0,94.8,3.002142163,24,23.2,30,265500,59,4.459
0.05644,0.0641,1,32.9,9.476487475,4,20.6,4,729000,29.7,4.758
0.26169,0.099,0,90.4,5.29468044,4,21.4,14,436500,39.4,4.023
0.04932,0.0218,0,70.3,6.374896331,7,21.4,9,634500,32.2,4.849
0.09849,0.2565,0,95.8,3.046725988,2,22.1,22,423000,43.1,3.879
0.03113,0.0439,0,48.5,27.93342938,3,21.8,13,393750,29.2,4.014
0.28955,0.1059,0,9.8,7.720884498,4,21.6,38,533250,33.9,3.412
0.04379,0.0337,0,31.1,20.53430478,4,19.1,13,436500,24.8,3.787
0.07165,0.2565,0,84.1,3.52415168,2,22.1,18,456750,43.1,4.004
0.22188,0.0696,1,51.8,10.57337276,3,21.6,8,792000,31.4,5.691
3.77498,0.181,0,84.7,5.407220911,24,23.2,21,427500,50.5,3.952
0.6147,0.062,0,80.8,6.663808507,8,20.4,9,677250,35.7,4.618
0.17142,0.0691,0,33.8,13.55709937,3,20.9,12,434250,29.8,3.682
0.5405,0.0397,0,52.6,5.408727442,5,16,3,978750,42.5,5.47
0.08873,0.0564,0,45.7,21.55335028,4,19.8,17,443250,28.9,3.963
0.0837,0.0344,0,38.9,11.3596244,5,18.2,6,785250,28.7,5.185
0.02055,0.0074,0,35.7,34.76348652,2,20.3,7,555750,26,4.383
0.0566,0.0341,0,86.3,7.157924078,2,20.8,6,531000,33.9,5.007
4.26131,0.181,0,81.3,4.35741328,24,23.2,16,508500,62,4.112
0.25356,0.099,0,77.7,8.988251421,4,21.4,14,364500,39.4,3.705
3.1636,0.181,0,48.2,6.006600535,24,23.2,18,447750,50.5,3.759
3.53501,0.1958,1,82.6,2.438213688,5,17.7,19,351000,72.1,4.152
0.0136,0.04,0,47.6,24.1651364,3,24.1,18,425250,26,3.888
9.51363,0.181,0,94.1,4.321347272,24,23.2,24,335250,56.3,4.728
0.55778,0.2189,0,98.2,3.304322413,4,24.2,21,407250,47.4,4.335
0.16439,0.0586,0,49.1,26.89726633,7,22.1,12,551250,28.1,4.433
0.25915,0.2189,0,96,2.534571823,4,24.2,22,364500,47.4,3.693
0.08829,0.0787,0,66.6,15.56618373,5,18.2,15,515250,37.4,4.012
1.49632,0.1958,0,100,2.10346015,5,17.7,16,441000,72.1,3.404
5.20177,0.181,1,83.4,4.965919397,24,23.2,14,510750,62,4.127
0.13914,0.0405,0,88.5,4.601657249,5,19.6,18,519750,36,3.572
0.32264,0.2189,0,93.5,2.95156022,4,24.2,21,391500,47.4,3.942
0.08707,0.1283,0,45.8,9.524501076,5,21.7,13,468000,28.7,4.14
0.35809,0.062,1,88.5,5.377724698,8,20.4,12,600750,35.7,4.951
0.33147,0.062,0,70.4,7.943834778,8,20.4,4,1086750,35.7,6.247
0.11747,0.0787,0,82.9,18.65574975,5,18.2,16,425250,37.4,4.009
14.3337,0.181,0,88,2.913955127,24,23.2,16,481500,46.4,4.229
3.67822,0.181,0,96.2,3.286556172,24,23.2,12,468000,62,3.362
15.5757,0.181,0,71,5.518824931,24,23.2,23,429750,43,3.926
0.03578,0.0333,0,64.5,11.87333038,5,17.9,4,1021500,29.29,5.82
2.36862,0.1958,0,95.7,1.83377149,5,17.7,38,328500,72.1,2.926
0.0578,0.0246,0,58.4,5.279742184,3,20.8,6,837000,33.8,4.98
0.08447,0.0405,0,68.7,4.905359421,5,19.6,12,508500,36,3.859
1.51902,0.1958,1,93.9,3.433753407,5,17.7,4,1125000,45.5,6.375
3.56868,0.181,0,75,5.482740014,24,23.2,18,522000,43,4.437
7.02259,0.181,0,95.3,2.733089038,24,23.2,20,319500,56.8,4.006
0.85204,0.0814,0,89.2,9.234841299,4,24,17,441000,38.8,3.965
0.19802,0.1059,0,42.4,8.989709635,4,21.6,12,562500,33.9,4.182
0.07875,0.0344,0,41.1,8.424924311,5,18.2,8,720000,28.7,4.782
15.0234,0.181,0,97.3,3.279309874,24,23.2,32,270000,46.4,3.304
4.22239,0.181,1,89,2.803641829,24,23.2,18,378000,62,3.803
0.52693,0.062,0,83,5.476381305,8,20.4,5,1125000,35.4,6.725
10.233,0.181,0,96.7,3.455378799,24,23.2,23,328500,46.4,4.185
0.07022,0.0405,0,47.2,7.608934079,5,19.6,12,522000,36,4.02
12.8023,0.181,0,96.6,2.782240832,24,23.2,30,243000,59,3.854
0.02899,0.0125,0,34.5,32.40023726,1,22.7,7,598500,27.9,4.939
0.05425,0.0405,0,73.4,6.812358435,5,19.6,7,553500,36,4.315
0.03306,0.0519,0,37.3,12.352358,5,23.2,10,463500,36.5,4.059
0.05515,0.0218,0,41.1,9.270588539,7,21.4,8,812250,32.2,5.236
45.7461,0.181,0,100,2.246048124,24,23.2,47,157500,54.3,2.519
4.54192,0.181,0,88,4.382726314,24,23.2,9,562500,62,4.398
0.08014,0.0596,0,41.5,8.948913176,5,22.2,11,472500,34.9,3.85
7.83932,0.181,0,65.4,5.686754009,24,23.2,16,481500,50.5,4.209
0.17505,0.0596,0,30.2,8.634748329,5,22.2,12,555750,34.9,3.966
0.34109,0.0738,0,40.1,11.98033933,5,22.6,7,562500,34.3,4.415
14.4383,0.181,0,100,1.843220604,24,23.2,25,618750,44.7,4.852
0.82526,0.0397,0,94.5,3.224781792,5,16,14,697500,49.7,5.327
16.8118,0.181,0,98.1,1.764574374,24,23.2,39,162000,55,3.277
6.28807,0.181,0,96.4,3.207920536,24,23.2,22,335250,59,4.341
0.2909,0.2189,0,93.6,2.14654972,4,24.2,31,315000,47.4,4.174
2.44953,0.1958,0,95.2,3.692680564,5,17.7,14,501750,45.5,4.402
5.29305,0.181,0,82.5,3.44850404,24,23.2,24,522000,55,4.051
0.06888,0.0246,0,62.2,4.606763189,3,20.8,11,814500,33.8,4.144
0.10659,0.0191,0,19.5,43.60651012,4,25,6,463500,26.3,3.936
0.12802,0.0856,0,97.1,4.1476186,5,23.9,15,445500,37,4.474
4.66883,0.181,0,87.9,4.55777738,24,23.2,24,285750,56.3,3.976
8.98296,0.181,1,97.4,3.33317485,24,23.2,22,400500,62,4.212
1.42502,0.1958,0,100,2.483966706,5,17.7,9,524250,72.1,4.51
2.14918,0.1958,0,98.5,2.170677249,5,17.7,20,436500,72.1,3.709
0.1265,0.0513,0,43.4,27.75127817,8,22.7,12,562500,30.3,4.762
14.3337,0.181,0,100,2.099021329,24,23.2,39,229500,55,2.88
0.04337,0.0564,0,63,21.55335028,4,19.8,11,461250,28.9,4.115
0.1396,0.0856,0,90,4.115206786,5,23.9,15,452250,37,4.167
3.8497,0.181,1,91,4.346581676,24,23.2,16,488250,62,4.395
2.924,0.1958,0,93,3.747409857,5,17.7,12,562500,45.5,4.101
9.32909,0.181,0,98.7,3.690330586,24,23.2,23,317250,56.3,4.185
0.04011,0.0152,0,34.1,24.1086415,2,15.6,5,749250,25.4,5.287
0.22212,0.1001,0,95.4,4.466003693,6,20.8,21,420750,39.7,4.092
0.06211,0.0125,0,44.4,32.40023726,1,22.7,7,515250,27.9,4.49
7.99248,0.181,0,100,1.981129085,24,23.2,31,276750,55,3.52
0.04981,0.0564,0,21.4,21.55335028,4,19.8,10,526500,28.9,3.998
0.28392,0.0738,0,74.3,11.98033933,5,22.6,14,416250,34.3,3.708
25.0461,0.181,0,100,2.097542503,24,23.2,34,126000,54.3,3.987
11.1081,0.181,0,100,1.292966646,24,23.2,44,310500,51.8,2.906
0.54011,0.0397,0,81.8,3.307829854,5,16,12,760500,49.7,5.203
0.61154,0.0397,0,86.9,2.563432821,5,16,6,1125000,49.7,6.704
0.06466,0.0224,0,20.1,26.90441501,5,17.8,6,506250,25,4.345
28.6558,0.181,0,100,2.098810044,24,23.2,25,366750,44.7,3.155
0.04544,0.0324,0,32.2,16.99209735,4,19.9,11,445500,31,4.144
5.82401,0.181,0,64.7,7.166293594,24,23.2,13,517500,38.2,4.242
0.12579,0.0344,0,29.1,11.3596244,5,18.2,5,670500,28.7,4.556
0.03871,0.0532,0,31.3,24.15193222,6,19.6,8,522000,25.5,4.209
0.03659,0.0486,0,32.2,14.85662241,4,22,8,558000,27.6,4.302
0.12083,0.0289,0,76,7.40551474,2,21,5,870750,29.5,6.069
0.01432,0.0132,0,40.5,29.68917254,5,18.1,4,711000,26.1,4.816
7.05042,0.181,0,85.1,3.084473956,24,23.2,29,301500,46.4,4.103
0.31827,0.099,0,83.2,9.184441212,4,21.4,23,400500,39.4,3.914
0.33045,0.062,0,61.5,7.943834778,8,20.4,13,540000,35.7,4.086
0.05188,0.0449,0,45.1,10.80952541,3,21.5,16,506250,29.9,4.015
0.21161,0.0856,0,87.4,4.942594126,5,23.9,17,434250,37,4.137
0.07503,0.0218,0,71.9,6.109411322,7,21.4,8,751500,32.2,5.42
0.15086,0.2774,0,92.7,2.608901926,4,23.1,23,342000,45.9,3.454
23.6482,0.181,0,96.2,1.686053308,24,23.2,30,294750,52.1,4.38
4.75237,0.181,0,86.5,4.155531721,24,23.2,23,317250,56.3,4.525
18.0846,0.181,0,100,2.64060899,24,23.2,37,162000,52.9,4.434
0.32543,0.2189,0,98.8,2.589672377,4,24.2,19,405000,47.4,4.431
9.91655,0.181,0,77.8,1.913953088,24,23.2,38,141750,54.3,3.852
1.62864,0.2189,0,100,1.790978603,4,24.2,44,324000,47.4,3.019
0.17331,0.0969,0,54,4.008845239,6,22.2,15,490500,43.5,3.707
0.95577,0.0814,0,88.8,10.91205956,4,24,22,333000,38.8,4.047
0.22927,0.0691,0,85.5,16.14753927,3,20.9,24,373500,29.8,4.03
11.0874,0.181,0,100,2.696557242,24,23.2,19,375750,56.8,4.411
0.03705,0.0333,0,37.2,14.17597838,5,17.9,5,796500,29.29,4.968
0.14231,0.1001,0,84.2,3.677024644,6,20.8,13,416250,39.7,4.254
9.18702,0.181,0,100,2.079827104,24,23.2,30,254250,55,3.536
0.01538,0.0375,0,34.2,19.18294301,3,18.9,3,990000,24.4,5.454
1.19294,0.2189,0,97.7,3.714902456,4,24.2,15,441000,47.4,4.326
9.82349,0.181,0,98.8,1.631697439,24,23.2,27,299250,52.1,4.794
18.811,0.181,0,100,2.02430947,24,23.2,44,402750,44.7,2.628
0.52014,0.0397,0,91.5,3.76081064,5,16,7,1098000,49.7,6.398
0.11504,0.0289,0,69.6,7.40551474,2,21,14,481500,29.5,4.163
5.58107,0.181,0,87.9,3.832848729,24,23.2,20,321750,56.3,4.436
0.1403,0.0586,0,13,24.57314863,7,22.1,7,549000,28.1,4.487
3.69311,0.181,0,88.4,4.519688029,24,23.2,18,398250,56.3,4.376
17.8667,0.181,0,100,1.686053308,24,23.2,28,229500,52.1,4.223
0.09744,0.0596,0,61.4,7.011886241,5,22.2,14,450000,34.9,3.841
8.49213,0.181,0,86.1,3.160245137,24,23.2,22,326250,43.4,4.348
0.77299,0.0814,0,94.4,10.91715658,4,24,16,414000,38.8,4.495
0.06151,0.0519,0,58.5,12.352358,5,23.2,11,420750,36.5,3.968
0.3692,0.099,0,87.3,7.771910755,4,21.4,11,535500,39.4,4.567
0.29916,0.0696,0,42.1,10.81655813,3,21.6,16,474750,31.4,3.856
1.20742,0.1958,0,94.6,4.128541279,5,17.7,18,391500,45.5,3.875
0.04819,0.0364,0,32,34.96166306,1,19.4,8,492750,24.2,4.108
0.12204,0.0289,0,57.8,7.40551474,2,21,8,639000,29.5,4.625
0.22876,0.0856,0,85.4,4.942594126,5,23.9,13,418500,37,4.405
0.04666,0.0152,0,36.6,24.1086415,2,15.6,10,681750,25.4,5.107
0.0536,0.0564,0,21.1,21.55335028,4,19.8,6,562500,28.9,4.511
0.47547,0.099,0,58.8,9.196571921,4,21.4,16,472500,39.4,4.113
0.46296,0.062,0,76.9,8.012160713,8,20.4,6,713250,35.4,5.412
0.12932,0.1392,0,31.1,17.39564954,4,19,7,643500,28.7,4.678
0.12269,0.0691,0,40,16.29082095,3,20.9,12,477000,29.8,4.069
1.41385,0.1958,1,96,2.446935916,5,17.7,19,382500,72.1,4.129
0.04684,0.0341,0,66.1,6.087662858,2,20.8,11,508500,33.9,4.417
1.25179,0.0814,0,98.1,8.458038169,4,24,27,306000,38.8,3.57
8.24809,0.181,0,99.3,4.201758523,24,23.2,21,400500,56.3,5.393
25.9406,0.181,0,89.1,2.222903846,24,23.2,34,234000,52.9,3.304
0.01439,0.0293,0,18.8,18.62172581,1,18.6,5,654750,25.1,4.604
3.47428,0.181,1,82.9,2.803641829,24,23.2,6,492750,56.8,6.78
0.03961,0.0519,0,34.5,17.51206971,5,23.2,10,474750,36.5,4.037
0.04203,0.1504,0,53.6,7.992616629,4,21.2,10,515250,31.4,4.442
0.03768,0.0152,0,38.3,24.1086415,2,15.6,8,778500,25.4,5.274
0.55007,0.0397,0,91.6,2.863701171,5,16,10,821250,49.7,5.206
0.01096,0.0225,0,31.9,24.09967024,1,18.3,10,495000,23.9,4.453
0.19186,0.0738,0,14.7,14.92358003,5,22.6,6,553500,34.3,4.431
0.06162,0.0439,0,52.3,27.93342938,3,21.8,16,387000,29.2,3.898
0.21409,0.0586,0,8.9,24.57314863,7,22.1,4,558000,28.1,4.438
0.13158,0.1001,0,72.5,4.987531918,6,20.8,15,477000,39.7,4.176
0.40771,0.062,1,91.3,5.948725652,8,20.4,27,488250,35.7,4.164
0.01965,0.0176,0,31.5,34.16969133,1,21.2,16,452250,23.5,4.23
3.69695,0.181,0,91.4,2.453429244,24,23.2,17,492750,56.8,2.963
0.65665,0.0397,0,100,3.057423819,5,16,8,677250,49.7,4.842
0.10793,0.0856,0,54.4,5.127687593,5,23.9,16,488250,37,4.195
0.27957,0.0969,0,42.6,4.008845239,6,22.2,17,551250,43.5,3.926
51.1358,0.181,0,100,1.738711229,24,23.2,12,337500,44.7,3.757
0.08387,0.1283,0,36.6,11.10558364,5,21.7,11,456750,28.7,3.874
41.5292,0.181,0,85.4,2.136969592,24,23.2,35,191250,54.3,3.531
0.03049,0.0378,0,28.1,19.81310943,5,20.6,5,702000,33.4,4.874
0.2896,0.0969,0,72.9,5.189258767,6,22.2,27,443250,43.5,3.39
0.21719,0.1059,1,53.8,7.94627121,4,21.6,20,504000,33.9,3.807
0.03427,0.0519,0,46.3,14.11720872,5,23.2,12,438750,36.5,3.869
0.31533,0.062,0,78.3,5.476381305,8,20.4,5,1008000,35.4,6.266
14.4208,0.181,0,93.3,3.037740973,24,23.2,23,216000,59,4.461
0.02498,0.0189,0,59.7,18.84883114,1,18.9,10,371250,36.8,4.54
0.44791,0.062,1,66.5,7.943834778,8,20.4,10,652500,35.7,4.726
9.92485,0.181,0,96.6,3.525691438,24,23.2,21,283500,59,4.251
0.00632,0.0231,0,65.2,9.522638389,1,18.3,6,540000,38.8,4.575
0.10959,0.1193,0,89.3,4.028253125,1,24,8,495000,42.3,4.794
0.06617,0.0324,0,25.8,14.04603029,4,19.9,12,434250,31,3.868
2.44668,0.1958,0,94,2.417907283,5,17.7,20,294750,72.1,3.272
0.06911,0.0344,0,30.8,19.88376229,5,18.2,5,686250,28.7,4.739
0.05646,0.1283,0,53.7,13.1919436,5,21.7,15,477000,28.7,4.232
3.83684,0.181,0,91.1,3.779233063,24,23.2,18,447750,62,4.251
0.59005,0.2189,0,97.9,3.863613261,4,24.2,14,517500,47.4,4.372
0.67191,0.0814,0,90.3,11.82198094,4,24,18,373500,38.8,3.813
0.10153,0.1283,0,74.5,9.382215317,5,21.7,15,450000,28.7,4.279
0.01778,0.0147,0,13.9,25.95177452,3,20,5,740250,25.3,5.135
0.12757,0.0493,0,7.8,22.68150916,6,19.6,6,533250,27.8,4.393
0.0686,0.0289,0,62.5,7.40551474,2,21,7,747000,29.5,5.416
0.36894,0.0586,0,8.4,33.07858466,7,22.1,4,963000,28.1,6.259
13.3598,0.181,0,94.7,2.520526758,24,23.2,20,285750,54.3,3.887
6.39312,0.181,0,97.4,3.546245625,24,23.2,31,299250,43.4,4.162
0.09068,0.0344,0,21.5,19.88376229,5,18.2,6,832500,28.7,4.951
2.15505,0.1958,0,100,1.947124326,5,17.7,21,351000,72.1,3.628
3.32105,0.1958,1,100,1.562284227,5,17.7,34,301500,72.1,3.403
8.79212,0.181,0,70.6,3.186890614,24,23.2,22,263250,43.4,3.565
0.07886,0.0495,0,27.7,13.62648765,4,22.2,4,839250,26.1,5.148
15.8603,0.181,0,95.4,2.815190897,24,23.2,31,186750,52.9,3.896
0.04113,0.0486,0,33.5,14.85662241,4,22,6,630000,27.6,4.727
1.27346,0.1958,1,92.6,2.557514297,5,17.7,6,607500,45.5,4.25
0.02187,0.0293,0,9.9,18.62172581,1,18.6,6,699750,25.1,4.8
0.08664,0.0344,0,26.3,19.88376229,5,18.2,3,819000,28.7,5.178
24.3938,0.181,0,100,1.846642852,24,23.2,36,236250,55,2.652
0.03237,0.0218,0,45.8,17.8734511,3,21.7,3,751500,30.8,4.998
2.73397,0.1958,0,94.9,1.965851164,5,17.7,27,346500,72.1,3.597
0.25387,0.0691,0,95.3,16.97543695,3,20.9,39,324000,29.8,3.399
22.0511,0.181,0,92.4,2.713520433,24,23.2,28,236250,59,3.818
6.96215,0.181,0,97,2.855159807,24,23.2,21,339750,55,3.713
0.17783,0.0969,0,73.5,4.057971879,6,22.2,19,393750,43.5,3.569
0.08308,0.0246,0,89.8,5.762165041,3,20.8,17,594000,33.8,3.604
73.5341,0.181,0,100,2.567077539,24,23.2,26,198000,52.9,3.957
10.0623,0.181,0,94.3,3.248144536,24,23.2,25,317250,43.4,4.833
38.3518,0.181,0,100,1.891957872,24,23.2,39,112500,54.3,3.453
0.05497,0.0519,0,45.4,12.352358,5,23.2,12,427500,36.5,3.985
5.69175,0.181,0,79.8,7.57813563,24,23.2,19,429750,43.3,4.114
0.05083,0.0519,0,38.1,19.77879837,5,23.2,7,499500,36.5,4.316
0.12744,0.0691,0,2.9,16.29082095,3,20.9,5,598500,29.8,4.77
